aX,aY,aZ,gX,gY,gZ
0.775,0.034,-0.583,47.424,-113.220,11.963
0.779,0.115,-0.467,48.462,-117.188,8.911
0.771,0.123,-0.434,47.424,-116.455,2.380
0.733,0.032,-0.335,46.997,-115.051,-3.479
0.697,-0.104,-0.341,47.852,-112.671,-7.568
0.671,-0.112,-0.326,52.490,-110.657,-5.920
0.644,-0.129,-0.317,57.739,-111.145,-4.333
0.607,-0.109,-0.431,62.683,-110.901,-3.296
0.582,-0.096,-0.412,70.374,-116.821,-2.991
0.566,-0.140,-0.266,77.026,-125.854,-4.639
0.554,-0.127,-0.161,78.308,-129.700,-4.456
0.546,-0.064,-0.011,76.477,-131.226,-3.296
0.533,-0.077,0.043,70.862,-129.089,-5.371
0.518,0.028,0.090,65.063,-125.793,-6.165
0.511,0.086,0.084,58.716,-122.925,-9.277
0.485,0.083,0.050,52.002,-120.789,-15.442
0.457,0.040,0.065,42.725,-123.352,-21.057
0.424,-0.177,0.114,30.029,-128.113,-24.963
0.400,-0.320,0.185,13.184,-134.644,-21.912
0.370,-0.294,0.255,0.610,-140.869,-8.911
0.361,-0.193,0.412,-9.583,-149.170,1.465
0.364,0.058,0.655,-8.545,-154.968,9.766
0.388,0.249,0.938,3.296,-153.809,6.531
0.427,0.410,1.212,27.649,-143.250,-5.859
0.442,0.335,1.431,58.899,-124.939,-29.785
0.460,0.238,1.411,85.449,-98.694,-54.077
0.471,0.051,1.177,100.586,-71.472,-74.951
0.449,-0.273,0.804,101.440,-55.237,-91.431
0.435,-0.633,0.445,89.050,-54.199,-95.947
0.457,-1.038,0.314,69.031,-72.571,-87.524
0.505,-1.252,0.493,48.645,-100.342,-63.965
0.587,-1.228,0.964,38.391,-126.770,-32.349
0.708,-1.120,1.444,34.058,-139.954,-3.357
0.857,-0.915,1.859,31.921,-138.123,20.996
1.020,-0.744,2.163,26.550,-126.526,40.710
1.126,-0.573,2.453,13.977,-108.887,57.495
1.124,-0.140,2.470,-28.381,-50.659,93.201
1.038,0.303,2.158,-53.894,-16.724,110.107
0.954,0.763,1.738,-71.960,10.620,113.281
0.888,1.159,1.293,-76.782,32.776,100.281
0.824,1.229,0.940,-67.993,46.204,69.763
0.782,1.023,0.621,-51.392,54.199,30.945
0.753,0.790,0.319,-31.921,59.021,-1.099
0.728,0.511,0.130,-14.038,57.007,-26.062
0.734,0.203,0.077,-0.122,49.316,-45.227
0.757,-0.021,0.068,11.597,41.870,-54.932
0.783,-0.261,0.045,19.409,35.400,-58.533
0.822,-0.403,0.072,21.973,27.344,-54.749
0.865,-0.547,0.164,23.621,18.616,-46.814
0.904,-0.584,0.229,21.423,12.329,-34.546
0.933,-0.508,0.305,17.517,7.263,-19.348
0.953,-0.456,0.436,14.343,2.319,-7.629
0.959,-0.376,0.535,10.193,1.282,1.953
0.963,-0.299,0.570,7.568,2.808,10.010
0.955,-0.208,0.612,4.028,4.578,16.113
0.944,-0.108,0.621,0.000,6.897,21.057
0.938,-0.007,0.640,-4.517,9.216,22.827
0.941,0.058,0.687,-8.484,11.230,21.790
0.928,0.096,0.712,-11.414,14.954,18.372
0.915,0.090,0.745,-12.573,19.287,13.550
0.903,0.052,0.766,-11.719,23.437,7.935
0.895,-0.003,0.739,-11.658,28.259,4.150
0.882,-0.053,0.729,-13.855,31.616,2.991
0.878,-0.120,0.776,-17.700,33.020,4.089
0.879,-0.192,0.826,-23.437,34.912,7.263
0.873,-0.212,0.810,-30.151,38.269,13.611
0.864,-0.205,0.788,-36.987,41.016,21.484
0.878,-0.193,0.810,-43.640,41.748,28.748
0.887,-0.109,0.800,-49.500,43.579,35.706
0.884,-0.023,0.799,-52.124,45.837,40.161
0.892,0.015,0.871,-52.734,47.119,40.405
0.902,0.037,0.906,-52.307,50.598,38.818
0.901,0.097,0.908,-51.025,55.969,36.804
0.920,0.060,0.866,-51.025,61.157,32.593
0.953,-0.021,0.854,-53.528,64.941,28.870
0.950,0.047,0.825,-54.993,69.336,30.334
0.946,0.103,0.759,-54.688,74.097,30.579
0.945,0.146,0.769,-55.176,76.843,27.161
0.918,0.201,0.749,-51.941,80.994,22.888
0.892,0.135,0.717,-46.509,85.571,15.686
0.862,0.086,0.724,-42.969,88.501,9.155
0.851,-0.007,0.659,-41.016,91.980,5.005
0.823,-0.075,0.584,-42.114,94.727,3.540
0.826,-0.160,0.466,-44.861,95.276,4.822
0.845,-0.261,0.420,-49.683,92.468,8.362
0.876,-0.253,0.405,-57.068,88.013,17.517
0.911,-0.081,0.338,-62.744,87.097,27.832
0.922,0.070,0.257,-63.721,86.731,32.898
0.913,0.247,0.282,-59.937,83.984,31.677
0.889,0.302,0.345,-52.429,83.130,23.987
0.866,0.302,0.294,-41.626,86.792,12.268
0.847,0.280,0.242,-29.602,90.027,0.854
0.812,0.146,0.152,-19.653,91.248,-9.949
0.791,-0.017,0.119,-16.968,89.172,-16.235
0.780,-0.151,0.105,-24.414,84.900,-15.015
0.779,-0.219,0.074,-40.833,81.116,-7.507
0.766,-0.170,0.044,-56.519,76.843,1.709
0.762,-0.066,0.028,-67.810,71.899,10.254
0.771,-0.031,-0.007,-71.960,66.956,12.878
0.773,0.101,0.103,-64.453,61.646,14.343
0.786,0.203,0.183,-52.917,61.707,11.719
0.786,0.220,0.215,-41.260,67.200,3.357
0.781,0.229,0.268,-29.846,73.486,-5.005
0.762,0.160,0.123,-23.560,83.130,-13.977
0.780,0.087,-0.037,-20.081,88.562,-20.142
0.996,-0.052,-0.179,-21.973,84.412,-24.719
1.569,-0.142,-0.410,-33.813,78.003,-23.376
1.229,-0.056,-0.089,-39.917,66.040,-12.207
0.802,0.262,0.430,-40.588,58.350,0.366
0.670,0.117,0.035,-69.458,77.332,-6.348
0.651,-0.111,0.141,-81.177,76.050,-19.958
0.647,-0.118,0.161,-70.801,75.195,-19.653
0.619,-0.064,0.125,-51.331,85.449,-18.127
0.605,-0.060,0.047,-28.870,92.957,-20.142
0.598,-0.077,-0.076,-9.521,100.464,-22.949
0.630,-0.093,-0.137,3.845,102.112,-23.865
0.681,-0.128,-0.239,5.310,102.234,-23.621
0.741,-0.113,-0.244,-6.897,99.182,-19.592
0.767,-0.071,-0.251,-28.625,96.069,-14.893
0.763,0.006,-0.322,-52.795,95.886,-11.230
0.718,0.047,-0.388,-70.862,93.567,-11.353
0.679,0.007,-0.444,-80.444,90.271,-14.893
0.652,0.009,-0.314,-80.200,84.778,-17.822
0.620,-0.011,-0.358,-76.660,85.632,-21.667
0.640,-0.060,-0.428,-71.289,88.318,-26.062
0.679,-0.112,-0.343,-61.096,86.426,-29.480
0.706,-0.126,-0.342,-52.612,89.478,-30.457
0.684,-0.131,-0.357,-48.401,95.703,-30.029
0.672,-0.112,-0.497,-47.058,102.051,-29.175
0.676,-0.142,-0.489,-39.429,101.929,-30.151
0.682,-0.122,-0.541,-33.325,101.624,-29.419
0.673,-0.124,-0.684,-30.884,104.370,-28.992
